PROBEID	GENENAME
1007_s_at	discoidin domain receptor tyrosine kinase 1
1007_s_at	microRNA 4640
1053_at	replication factor C (activator 1) 2, 40kDa
117_at	heat shock 70kDa protein 6 (HSP70B')
121_at	paired box 8
1255_g_at	guanylate cyclase activator 1A (retina)
1294_at	ubiquitin-like modifier activating enzyme 7
1294_at	microRNA 5193
1316_at	thyroid hormone receptor, alpha
1320_at	protein tyrosine phosphatase, non-receptor type 21
1405_i_at	chemokine (C-C motif) ligand 5
1431_at	cytochrome P450, family 2, subfamily E, polypeptide 1
1438_at	EPH receptor B3
1487_at	estrogen-related receptor alpha
1494_f_at	cytochrome P450, family 2, subfamily A, polypeptide 6
1552256_a_at	scavenger receptor class B, member 1
1552257_a_at	tubulin tyrosine ligase-like family member 12
1552258_at	long intergenic non-protein coding RNA 152
1552261_at	WAP four-disulfide core domain 2
1552263_at	mitogen-activated protein kinase 1
1552264_a_at	mitogen-activated protein kinase 1
1552266_at	ADAM metallopeptidase domain 32
1552269_at	spermatogenesis associated 17
1552271_at	proline rich 22
1552272_a_at	proline rich 22
1552274_at	PX domain containing serine/threonine kinase
1552275_s_at	PX domain containing serine/threonine kinase
1552276_a_at	vacuolar protein sorting 18 homolog (S. cerevisiae)
1552277_a_at	Myb/SANT-like DNA-binding domain containing 3
1552278_a_at	solute carrier family 46 (folate transporter), member 1
1552279_a_at	solute carrier family 46 (folate transporter), member 1
1552280_at	T-cell immunoglobulin and mucin domain containing 4
1552281_at	solute carrier family 39 (zinc transporter), member 5
1552283_s_at	zinc finger, DHHC-type containing 11
1552283_s_at	zinc finger, DHHC-type containing 11B
1552286_at	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2
1552287_s_at	AFG3-like AAA ATPase 1, pseudogene
1552288_at	cartilage intermediate layer protein 2
1552289_a_at	cartilage intermediate layer protein 2
1552291_at	phosphatidylinositol glycan anchor biosynthesis, class X
1552293_at	transmembrane protein 196
1552295_a_at	solute carrier family 39 (zinc transporter), member 13
1552296_at	bestrophin 4
1552299_at	adenylate kinase 9
1552301_a_at	coronin 6
1552302_at	transmembrane protein 106A
1552303_a_at	transmembrane protein 106A
1552304_at	ALG10, alpha-1,2-glucosyltransferase
1552306_at	ALG10, alpha-1,2-glucosyltransferase
1552307_a_at	tetratricopeptide repeat domain 39C
1552309_a_at	nexilin (F actin binding protein)
1552310_at	chromosome 15 open reading frame 40
1552311_a_at	retina and anterior neural fold homeobox 2
1552312_a_at	microfibrillar-associated protein 3
1552314_a_at	EYA transcriptional coactivator and phosphatase 3
1552315_at	GTPase, IMAP family member 1
1552316_a_at	GTPase, IMAP family member 1
1552318_at	GTPase, IMAP family member 1
1552319_a_at	kallikrein-related peptidase 8
1552320_a_at	coiled-coil domain containing 65
1552321_a_at	coiled-coil domain containing 65
1552322_at	family with sequence similarity 122C
1552323_s_at	family with sequence similarity 122C
1552325_at	cilia and flagella associated protein 53
1552326_a_at	cilia and flagella associated protein 53
1552327_at	armadillo repeat containing, X-linked 4
1552329_at	retinoblastoma binding protein 6
1552330_at	CENPB DNA-binding domains containing 1
1552332_at	TRIO and F-actin binding protein
1552334_at	TRIO and F-actin binding protein
1552335_at	cation channel, sperm associated 1
1552337_s_at	homeobox D4
1552338_at	goosecoid homeobox
1552340_at	Sp7 transcription factor
1552343_s_at	phosphodiesterase 7A
1552344_s_at	CCR4-NOT transcription complex, subunit 7
1552347_at	crystallin, zeta (quinone reductase)-like 1
1552348_at	protease, serine, 33
1552349_a_at	protease, serine, 33
1552354_at	calcium channel, voltage-dependent, beta subunit associated regulatory protein
1552355_s_at	calcium channel, voltage-dependent, beta subunit associated regulatory protein
1552359_at	minichromosome maintenance domain containing 2
1552360_a_at	toll-interleukin 1 receptor (TIR) domain containing adaptor protein
1552362_a_at	liver expressed antimicrobial peptide 2
1552364_s_at	musashi RNA-binding protein 2
1552365_at	scinderin
1552367_a_at	scinderin
1552368_at	CCCTC-binding factor (zinc finger protein)-like
1552370_at	chromosome 4 open reading frame 33
1552372_at	chromosome 4 open reading frame 33
1552373_s_at	chromosome 4 open reading frame 33
1552375_at	zinc finger protein 333
1552377_s_at	trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)
1552378_s_at	retinol dehydrogenase 10 (all-trans)
1552379_at	retinol dehydrogenase 10 (all-trans)
1552381_at	serine/arginine-rich splicing factor 12
1552383_at	family with sequence similarity 71, member A
1552384_a_at	family with sequence similarity 71, member A
1552386_at	GRB2-binding adaptor protein, transmembrane
1552388_at	signal peptide, CUB domain, EGF-like 1
1552388_at	uncharacterized protein FLJ30901
1552389_at	glutamate-rich 5
1552390_a_at	glutamate-rich 5
1552391_at	coiled-coil domain containing 185
1552393_at	ENTH domain containing 1
1552394_a_at	ENTH domain containing 1
1552395_at	testis-specific serine kinase 3
1552396_at	WAP four-disulfide core domain 6
1552398_a_at	C-type lectin domain family 12, member A
1552399_a_at	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit
1552400_a_at	chromosome 15 open reading frame 27
1552401_a_at	BTB and CNC homology 1, basic leucine zipper transcription factor 1
1552401_a_at	GRIK1 antisense RNA 2
1552402_at	calmodulin-like 6
1552405_at	NLR family, pyrin domain containing 5
1552408_at	outer dense fiber of sperm tails 4
1552409_a_at	outer dense fiber of sperm tails 4
1552410_at	C-type lectin domain family 4, member F
1552411_at	defensin, beta 106A
1552411_at	defensin, beta 106B
1552412_a_at	defensin, beta 106A
1552412_a_at	defensin, beta 106B
1552414_at	WAP four-disulfide core domain 9
1552415_a_at	WAP four-disulfide core domain 9
1552417_a_at	neural precursor cell expressed, developmentally down-regulated 1
1552418_at	tubulin tyrosine ligase-like family member 10
1552419_s_at	tubulin tyrosine ligase-like family member 10
1552421_a_at	calreticulin 3
1552422_at	chromosome 10 open reading frame 25
1552423_at	ets variant 3
1552424_at	kelch-like family member 10
1552425_a_at	kelch-like family member 10
1552426_a_at	TM2 domain containing 3
1552427_at	zinc finger protein 485
1552430_at	WD repeat domain 17
1552432_at	major facilitator superfamily domain containing 6-like
1552436_a_at	cadherin-related 23
1552438_a_at	ankyrin and armadillo repeat containing
1552439_s_at	multiple EGF-like-domains 11
1552440_at	G protein-coupled receptor 182
1552445_a_at	ESX homeobox 1
1552448_a_at	FAM167A antisense RNA 1
1552449_a_at	secretoglobin, family 1C, member 1
1552449_a_at	secretoglobin, family 1C, member 2
1552450_a_at	DnaJ (Hsp40) homolog, subfamily C, member 5 gamma
1552452_at	WD repeat domain 88
1552453_a_at	WD repeat domain 88
1552455_at	prune homolog 2 (Drosophila)
1552456_a_at	methyl-CpG binding domain protein 3-like 2
1552457_a_at	ADAMTS-like 1
1552458_at	methyl-CpG binding domain protein 3-like 1
1552459_a_at	methyl-CpG binding domain protein 3-like 1
1552461_at	family with sequence similarity 46, member D
1552463_at	serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)
1552466_x_at	long intergenic non-protein coding RNA 161
1552467_at	Down syndrome critical region 10 (non-protein coding)
1552468_a_at	Down syndrome critical region 10 (non-protein coding)
1552470_a_at	abhydrolase domain containing 11
1552472_a_at	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
1552473_at	guanidinoacetate N-methyltransferase
1552474_a_at	guanidinoacetate N-methyltransferase
1552476_s_at	phospholipase C, delta 3
1552477_a_at	interferon regulatory factor 6
1552478_a_at	interferon regulatory factor 6
1552480_s_at	protein tyrosine phosphatase, receptor type, C
1552481_s_at	mannosidase, alpha, class 1A, member 2
1552482_at	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1552484_at	Smith-Magenis syndrome chromosome region, candidate 8
1552485_at	lactamase, beta
1552486_s_at	lactamase, beta
1552487_a_at	basonuclin 1
1552489_s_at	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)
1552490_at	lactation elevated 1
1552491_at	isopentenyl-diphosphate delta isomerase 2
1552493_s_at	cytochrome P450, family 11, subfamily B, polypeptide 1
1552494_at	TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa
1552496_a_at	cordon-bleu WH2 repeat protein
1552497_a_at	SLAM family member 6
1552498_at	zinc finger and SCAN domain containing 20
1552499_a_at	zinc finger and SCAN domain containing 20
1552501_a_at	G protein-coupled bile acid receptor 1
1552502_s_at	rhomboid, veinlet-like 2 (Drosophila)
1552503_at	Fraser extracellular matrix complex subunit 1
1552504_a_at	BR serine/threonine kinase 1
1552506_at	crumbs family member 2
1552507_at	potassium channel, voltage gated subfamily E regulatory beta subunit 4
1552508_at	potassium channel, voltage gated subfamily E regulatory beta subunit 4
1552509_a_at	CD300 molecule-like family member g
1552510_at	solute carrier family 34 (type II sodium/phosphate cotransporter), member 3
1552511_a_at	carboxypeptidase A6
1552514_at	WBP2 N-terminal like
1552515_at	homeodomain interacting protein kinase 1
1552516_a_at	homeodomain interacting protein kinase 1
1552518_s_at	MDM2 binding protein
1552519_at	activin A receptor, type IC
1552520_at	transmembrane protein 74
